Article,Table,X,Y,Z
After the Honeymoon,3,-6,-24,57
After the Honeymoon,3,15,-15,-12
After the Honeymoon,3,54,21,3
After the Honeymoon,4,6,-21,-21
After the Honeymoon,4,3,-33,-21
After the Honeymoon,4,39,-27,-9
After the Honeymoon,4,15,-90,3
After the Honeymoon,4,45,-78,24
After the Honeymoon,5,-3,-15,-21
After the Honeymoon,5,0,0,23
After the Honeymoon,5,3,0,24
Attractive Alternative Partners,1,-4,22,32
Attractive Alternative Partners,1,-4,40,18
Attractive Alternative Partners,1,0,26,26
Attractive Alternative Partners,1,2,50,0
Attractive Alternative Partners,3,0,64,2
Attractive Alternative Partners,3,-56,-14,-4
Attractive Alternative Partners,3,50,-2,-22
Attractive Alternative Partners,3,2,-6,6
Attractive Alternative Partners,3,2,-90,0
Attractive Alternative Partners,3,-20,16,-4
Attractive Alternative Partners,3,-16,-26,-12
Attractive Alternative Partners,3,-26,-98,-2
Attractive Alternative Partners,3,40,-10,-24
Attractive Alternative Partners,3,28,-98,-10
Attractive Alternative Partners,3,-38,-20,-12
Attractive Alternative Partners,3,-36,-74,56
Attractive Alternative Partners,3,-34,-78,54
Attractive Alternative Partners,3,6,-26,22
Attractive Alternative Partners,3,-6,-30,20
Lucky Guy in Love,2,8,12,58
Lucky Guy in Love,2,-30,22,4
Lucky Guy in Love,2,42,10,0
Lucky Guy in Love,2,-6,14,42
Lucky Guy in Love,2,-62,-22,34
Lucky Guy in Love,2,68,-24,38
Lucky Guy in Love,2,18,-70,-22
Lucky Guy in Love,2,32,-94,-8
Lucky Guy in Love,2,18,-88,20
Lucky Guy in Love,2,46,-60,28
Lucky Guy in Love,2,-10,-56,20
Lucky Guy in Love,2,26,28,44
Lucky Guy in Love,2,8,42,-12
Lucky Guy in Love,2,62,-4,-18
Lucky Guy in Love,2,-46,-78,30
Lucky Guy in Love,2,62,-4,-18
Lucky Guy in Love,3,-36,-12,44
Lucky Guy in Love,3,-6,10,34
Lucky Guy in Love,3,-10,-26,16
Lucky Guy in Love,3,-12,-54,54
Lucky Guy in Love,3,36,12,14
Lucky Guy in Love,3,54,-58,34
Lucky Guy in Love,3,16,36,46
Lucky Guy in Love,3,12,54,20
